"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
11," zc06_205a ",18,0,8.77,6.856667,0.857281,1.054944,0.323611,1.786667,0.832889,0,0.17105,0.673055,482.418471,0.139433
11," zc06_205a ",19,0,4.86,5.216667,1.227022,0.980574,0.272333,1.636667,0.530778,0,0.146673,0.530125,341.162662,0.038697
11," zc06_205a ",20,0,7.393333,4.886667,0.499196,0.914211,0.273056,1.453333,0.230444,0,0.130091,0.54565,298.074903,0.111925
11," zc06_205a ",21,0,5.513333,3.343333,0.31376,0.852307,0.159778,1.953333,0.046444,0,0.114811,0.644395,190.097423,0.167818
11," zc06_205a ",22,0,6.353333,17.056667,1.883592,0.664919,0.935722,0.99,0.562639,0.50925,0.250836,0.858993,757.838859,0.052448
11," zc06_205a ",23,0,2.106667,5.983333,1.437713,0.411503,0.193556,1.58,0.352583,0,0.140878,0.503933,164.020841,0.084703
11," zc06_205a ",24,0,5.016667,3.643333,0.52968,0.651706,0.215778,2.473333,0.110472,0,0.075962,0.377392,157.959779,0.062751
11," zc06_205a ",25,0,15.24,10.873333,0.836991,1.210484,0.689444,2.8,1.42661,0.460611,0.271796,0.91842,876.608677,0.083453
11," zc06_205a ",26,0,8.14,11.51,1.604486,1.026252,0.610889,1.003333,1.42661,0.57296,0.322912,1.08706,787.622947,0.081416
11," zc06_205a ",27,0,5.396667,8.08,1.385008,1.007636,0.2625,2.616667,1.42661,0,0.223143,0.836753,544.835893,0.126193
11," zc06_205a ",28,0,7.626667,14.536667,1.647662,0.795121,0.551056,2.33,1.42661,0.57296,0.218388,0.707848,770.568952,0.083246
11," zc06_205a ",29,0,4.506667,5.416667,0.573458,0.384091,0.248111,14.89,1.42661,0,0.056821,0.452042,138.682148,0.134089
11," zc06_205a ",30,0,14.336667,14.86,0.887064,0.874475,0.790444,2.266667,1.42661,0.57296,0.261564,0.944392,866.499707,0.11427
11," zc06_205a ",31,0,7.033333,6.96,0.44457,0.410926,0.296056,2.036667,1.42661,0,0.067641,0.350631,190.668157,0.026039
11," zc06_205a ",32,0,3.496667,7.96,0.730725,0.264323,0.266111,1.763333,1.42661,0,0.040675,0.3346,140.222111,0.095265
11," zc06_205a ",33,0,3.033333,3.21,0.754677,0.544844,0.190889,6.257245,1.42661,0,0.1193,0.814251,116.486471,0.157711
12," zc08_164a ",1,0,7.86,11.513333,0.638255,0.3965,0.432333,2.14,1.080806,0,0.088033,0.393462,306.609295,0.105523
12," zc08_164a ",2,0,9.873333,9.62,0.431534,0.412203,0.458111,1.83,0.587028,0,0.069162,0.359509,264.524829,0.095015
12," zc08_164a ",3,0,9.866667,10.506667,0.477952,0.504566,0.439333,2.983333,0.117194,0,0.123742,0.488278,353.310081,0.14703
12," zc08_164a ",4,0,8.223333,19.936667,1.617549,0.626846,1.277111,1.94,1.154944,0.91125,0.206753,0.886302,833.158291,0.12346
12," zc08_164a ",5,0,12.653333,9.376667,0.454496,0.586371,0.462944,2.626667,0.659667,0,0.097841,0.469514,368.629849,0.069424
